Sr.No,Stock_ID,Stock_Name,Date,Open_Price,High_Price,Low_Price,Close_Price,Volume
1,1,Reliance Industries,01-01-2023,447.95,458.36,447.92,454.57,3513
2,1,Reliance Industries,02-01-2023,888.8,900.15,884.98,897.76,2139
3,1,Reliance Industries,03-01-2023,865.83,866.75,855.18,856.06,9721
4,1,Reliance Industries,04-01-2023,904.5,915.44,899.59,914.25,6132
5,1,Reliance Industries,05-01-2023,925.02,938.45,923.83,934.46,1378
6,1,Reliance Industries,06-01-2023,177.21,188.7,172.93,186.6,8871
7,1,Reliance Industries,07-01-2023,201.87,206.59,192.36,194.21,7340
8,1,Reliance Industries,08-01-2023,473.29,485.34,468.6,481.73,9747
9,1,Reliance Industries,09-01-2023,975.36,982.58,971.32,979.24,5996
10,1,Reliance Industries,10-01-2023,819.07,820.69,814.85,815.39,3229
11,1,Reliance Industries,11-01-2023,665.88,672.58,661.71,668.06,6633
12,1,Reliance Industries,12-01-2023,358.19,368.24,354.19,367.54,2559
13,1,Reliance Industries,13-01-2023,941.37,942.54,932.76,936.95,5549
14,1,Reliance Industries,14-01-2023,697.84,705.42,694.3,704.61,2021
15,1,Reliance Industries,15-01-2023,672.32,673.57,671.22,672.67,3262
16,1,Reliance Industries,16-01-2023,265.54,265.89,260.65,262.7,9060
17,1,Reliance Industries,17-01-2023,728.5,733.43,723.2,727.25,6211
18,1,Reliance Industries,18-01-2023,887.33,887.85,879.82,882.37,8078
19,1,Reliance Industries,19-01-2023,996.02,1004.94,992.76,1004.69,3794
20,1,Reliance Industries,20-01-2023,971.1,971.86,965.87,967.33,2876
21,1,Reliance Industries,21-01-2023,330.48,335.02,321.9,322.77,5664
22,1,Reliance Industries,22-01-2023,538.61,542.71,531.53,532.28,4392
23,1,Reliance Industries,23-01-2023,419.66,423.71,411.31,411.98,1585
24,1,Reliance Industries,24-01-2023,773.93,780.88,771.19,778.02,9423
25,1,Reliance Industries,25-01-2023,226.67,228.6,222.23,224.04,4010
26,1,Reliance Industries,26-01-2023,286.28,291.09,282.68,287.45,7030
27,1,Reliance Industries,27-01-2023,173.29,174.48,166.35,167.32,1642
28,1,Reliance Industries,28-01-2023,398.53,398.54,395.37,398.14,4430
29,1,Reliance Industries,29-01-2023,459.69,460.31,449.93,453.58,8361
30,1,Reliance Industries,30-01-2023,308.29,311.56,306.09,310.16,1090
31,1,Reliance Industries,31-01-2023,513.12,515.77,506.56,508.93,5938
32,1,Reliance Industries,01-02-2023,979.69,980.67,970.68,974.38,5732
33,1,Reliance Industries,02-02-2023,378.32,378.83,371.87,372.58,3634
34,1,Reliance Industries,03-02-2023,183.99,193.59,182.2,192.75,9649
35,1,Reliance Industries,04-02-2023,634.28,645.57,634.2,643.34,1126
36,1,Reliance Industries,05-02-2023,630.26,633.35,628.53,630.27,4370
37,1,Reliance Industries,06-02-2023,724.63,729.22,716.23,719.92,1939
38,1,Reliance Industries,07-02-2023,365.74,368.1,357.85,359.25,7379
39,1,Reliance Industries,08-02-2023,388.57,399.74,388.02,396.42,8529
40,1,Reliance Industries,09-02-2023,816.6,819.52,810.86,814.41,2071
41,1,Reliance Industries,10-02-2023,485.57,490.03,477.44,479.44,7771
42,1,Reliance Industries,11-02-2023,470.28,472.38,465.93,470.54,6130
43,1,Reliance Industries,12-02-2023,653.75,656.18,644.01,648.18,5507
44,1,Reliance Industries,13-02-2023,364.52,375.11,361.6,370.87,3371
45,1,Reliance Industries,14-02-2023,916.65,928.05,915.4,925.06,1715
46,1,Reliance Industries,15-02-2023,906.03,914.37,904.87,910.32,7127
47,1,Reliance Industries,16-02-2023,761.89,765.42,755.72,760.11,6838
48,1,Reliance Industries,17-02-2023,579.41,579.74,574.86,579.46,2066
49,1,Reliance Industries,18-02-2023,274.98,277.21,262.54,265.97,4919
50,1,Reliance Industries,19-02-2023,777.28,786.08,776.35,782.34,1008
51,1,Reliance Industries,20-02-2023,756.14,760.16,753.38,755.53,1973
52,1,Reliance Industries,21-02-2023,207.58,208.37,197.56,201.11,2189
53,1,Reliance Industries,22-02-2023,254.79,258.82,242.03,246.31,8158
54,1,Reliance Industries,23-02-2023,425.73,429.96,417.45,420.59,8007
55,1,Reliance Industries,24-02-2023,924.29,928.89,917.49,920.33,9494
56,1,Reliance Industries,25-02-2023,787.5,794.93,784.04,790.07,6712
57,1,Reliance Industries,26-02-2023,747.11,752.71,744.79,747.8,9524
58,1,Reliance Industries,27-02-2023,232.19,237.94,230.55,236.51,4695
59,1,Reliance Industries,28-02-2023,771.93,773.54,769.19,771.91,9301
60,1,Reliance Industries,01-03-2023,977.3,977.52,966.97,970.49,5768
61,1,Reliance Industries,02-03-2023,927.4,929.98,922.64,925.34,4224
62,1,Reliance Industries,03-03-2023,785.63,791.16,785.44,789.35,5733
63,1,Reliance Industries,04-03-2023,281.48,284.73,271.75,272.93,8352
64,1,Reliance Industries,05-03-2023,898.5,900.15,891.11,893.34,4510
65,1,Reliance Industries,06-03-2023,372.19,375.97,371.8,373.19,8530
66,1,Reliance Industries,07-03-2023,271.66,280.1,270.54,275.93,5658
67,1,Reliance Industries,08-03-2023,454.03,457.7,451.91,455.86,1303
